ingredient_id,ingredient
414,pita bread
415,coriander leaves
416,garam masala
417,pilchards
418,oatmeal
419,brandy
420,canned tomatoes
421,ground cumin
422,caramel
423,frozen peas
424,basmati rice
425,sweetcorn
426,thai fish sauce
427,lasagne sheets
428,almond extract
429,stout
430,brie
431,noodles
432,coriander seeds
433,shredded mexican cheese
434,couscous
435,walnuts
436,flaked almond
437,glace cherry
438,mustard seeds
439,rice vinegar
440,baked beans
441,cod
442,cubed feta cheese
443,charlotte potatoes
444,gouda cheese
445,cilantro
446,buns
447,sichuan pepper
448,fresh thyme
449,peanut oil
450,hot beef stock
451,diced tomatoes
452,stirfry vegetables
453,vegan butter
454,ice cream
455,stilton cheese
456,prosciutto
457,plum tomatoes
458,turmeric powder
459,salsa
460,grape tomatoes
461,cider
462,whole milk
463,oregano
464,pine nuts
465,asparagus
466,monkfish
467,vine tomatoes
468,brown rice
469,wonton skin
470,jalapeno
471,chopped parsley
472,fruit mix
473,custard powder
474,anchovy fillets
475,orange zest
476,peanut brittle
477,apple cider vinegar
478,caramel sauce
479,baby squid
480,dijon mustard
481,goat cheese
482,soya milk
483,oysters
484,cheddar cheese
485,fromage frais
486,celery salt
487,lard
488,monterey jack cheese
489,duck sauce
490,water chestnuts
491,apricot
492,chinese broccoli
493,marjoram
494,pitted black olives
495,toffee popcorn
496,beans sprouts
497,ancho chillies
498,yogurt
499,green salsa
500,dark chocolate chips
501,tinned tomatos
502,full fat yogurt
503,truffle oil
504,naan bread
505,haricot beans
506,squid
507,rigatoni
508,tamarind balls
509,wholegrain bread
510,tabasco sauce
511,mixed spice
512,boiling water
513,jasmine rice
514,cooking wine
515,fenugreek
516,rose water
517,paccheri pasta
518,caraway seeds
519,dark brown sugar
520,bowtie pasta
521,malt vinegar
522,colby jack cheese
523,gochujang
524,borlotti beans
525,pink food colouring
526,gruyere cheese
527,clove
528,cashews
529,marzipan
530,biryani masala
